"","tip.label","specie_name","C","D","A","B","G","F"
"1","Acropora_aspera","Acropora aspera","C","D",NA,NA,NA,NA
"2","Acropora_cerealis","Acropora cerealis","C",NA,NA,NA,NA,NA
"3","Acropora_cervicornis","Acropora cervicornis","C","D","A","B",NA,NA
"4","Acropora_cytherea","Acropora cytherea","C",NA,"A",NA,NA,NA
"5","Acropora_digitifera","Acropora digitifera","C","D",NA,NA,NA,NA
"6","Acropora_florida","Acropora florida","C",NA,NA,NA,NA,NA
"7","Acropora_humilis","Acropora humilis","C",NA,NA,NA,NA,NA
"8","Acropora_hyacinthus","Acropora hyacinthus","C",NA,NA,NA,NA,NA
"9","Acropora_intermedia","Acropora intermedia","C","D",NA,NA,NA,NA
"10","Acropora_latistella","Acropora latistella","C","D",NA,NA,NA,NA
"11","Acropora_millepora","Acropora millepora","C",NA,NA,NA,NA,NA
"12","Acropora_muricata","Acropora muricata","C",NA,NA,NA,NA,NA
"13","Acropora_nasuta","Acropora nasuta","C",NA,NA,NA,NA,NA
"14","Acropora_samoensis","Acropora samoensis","C",NA,NA,NA,NA,NA
"15","Acropora_secale","Acropora secale","C",NA,NA,NA,NA,NA
"16","Acropora_tenuis","Acropora tenuis","C","D",NA,NA,NA,NA
"17","Acropora_valida","Acropora valida","C","D",NA,NA,NA,NA
"18","Agaricia_agaricites","Agaricia agaricites","C",NA,NA,"B",NA,NA
"19","Agaricia_humilis","Agaricia humilis","C","D",NA,"B",NA,NA
"20","Astrea_curta","Astrea curta","C","D",NA,NA,NA,NA
"21","Astreopora_myriophthalma","Astreopora myriophthalma","C","D",NA,NA,NA,NA
"22","Coelastrea_aspera","Coelastrea aspera","C","D",NA,NA,NA,NA
"23","Colpophyllia_natans","Colpophyllia natans","C","D",NA,"B",NA,NA
"24","Coscinaraea_columna","Coscinaraea columna","C",NA,NA,NA,NA,NA
"25","Cyphastrea_serailia","Cyphastrea serailia","C","D",NA,NA,NA,NA
"26","Diploastrea_heliopora","Diploastrea heliopora","C","D",NA,NA,NA,NA
"27","Diploria_labyrinthiformis","Diploria labyrinthiformis","C","D",NA,"B",NA,NA
"28","Echinophyllia_aspera","Echinophyllia aspera","C",NA,NA,NA,NA,NA
"29","Echinopora_gemmacea","Echinopora gemmacea","C","D",NA,NA,NA,NA
"30","Echinopora_lamellosa","Echinopora lamellosa","C",NA,NA,NA,NA,NA
"31","Favia_fragum","Favia fragum","C",NA,NA,"B",NA,NA
"32","Favites_abdita","Favites abdita","C","D",NA,NA,NA,NA
"33","Favites_pentagona","Favites pentagona","C","D",NA,NA,NA,NA
"34","Favites_valenciennesi","Favites valenciennesi","C","D",NA,NA,"G",NA
"35","Fungia_fungites","Fungia fungites","C","D",NA,NA,NA,NA
"36","Galaxea_astreata","Galaxea astreata","C","D",NA,NA,NA,NA
"37","Galaxea_fascicularis","Galaxea fascicularis","C","D",NA,NA,NA,NA
"38","Gardineroseris_planulata","Gardineroseris planulata","C","D",NA,NA,NA,NA
"39","Goniastrea_favulus","Goniastrea favulus","C","D",NA,NA,NA,NA
"40","Goniastrea_pectinata","Goniastrea pectinata","C","D",NA,NA,NA,NA
"41","Goniastrea_retiformis","Goniastrea retiformis","C","D",NA,NA,NA,NA
"42","Herpolitha_limax","Herpolitha limax","C","D",NA,NA,NA,NA
"43","Hydnophora_exesa","Hydnophora exesa","C",NA,NA,NA,NA,NA
"44","Hydnophora_microconos","Hydnophora microconos","C","D",NA,NA,NA,NA
"45","Isopora_palifera","Isopora palifera","C","D",NA,NA,NA,NA
"46","Leptastrea_pruinosa","Leptastrea pruinosa","C","D",NA,NA,NA,NA
"47","Lobactis_scutaria","Lobactis scutaria","C",NA,NA,NA,NA,NA
"48","Lobophyllia_corymbosa","Lobophyllia corymbosa","C",NA,NA,NA,NA,NA
"49","Lobophyllia_hemprichii","Lobophyllia hemprichii","C","D",NA,NA,NA,NA
"50","Madracis_pharensis","Madracis pharensis",NA,NA,NA,"B",NA,NA
"51","Meandrina_meandrites","Meandrina meandrites","C",NA,"A","B",NA,"F"
"52","Merulina_ampliata","Merulina ampliata","C","D",NA,NA,NA,NA
"53","Montastraea_cavernosa","Montastraea cavernosa","C","D",NA,NA,NA,NA
"54","Montipora_capitata","Montipora capitata","C","D","A",NA,NA,"F"
"55","Montipora_digitata","Montipora digitata","C",NA,NA,NA,NA,NA
"56","Montipora_patula","Montipora patula","C","D",NA,NA,NA,NA
"57","Mycedium_elephantotus","Mycedium elephantotus","C","D",NA,NA,NA,NA
"58","Orbicella_annularis","Orbicella annularis","C","D","A","B",NA,NA
"59","Orbicella_faveolata","Orbicella faveolata","C","D","A","B",NA,NA
"60","Orbicella_franksi","Orbicella franksi","C","D","A","B",NA,NA
"61","Oxypora_lacera","Oxypora lacera","C",NA,NA,NA,NA,NA
"62","Pachyseris_speciosa","Pachyseris speciosa","C","D",NA,NA,NA,NA
"63","Paragoniastrea_australensis","Paragoniastrea australensis","C","D",NA,NA,NA,NA
"64","Pavona_explanulata","Pavona explanulata","C","D",NA,NA,NA,NA
"65","Pavona_varians","Pavona varians","C","D",NA,NA,NA,NA
"66","Physogyra_lichtensteini","Physogyra lichtensteini","C","D",NA,NA,NA,NA
"67","Platygyra_daedalea","Platygyra daedalea","C","D",NA,NA,NA,NA
"68","Platygyra_pini","Platygyra pini","C","D",NA,NA,NA,NA
"69","Platygyra_sinensis","Platygyra sinensis","C","D",NA,NA,NA,NA
"70","Plerogyra_sinuosa","Plerogyra sinuosa","C","D",NA,NA,NA,NA
"71","Plesiastrea_versipora","Plesiastrea versipora","C",NA,NA,"B",NA,NA
"72","Pocillopora_damicornis","Pocillopora damicornis","C","D",NA,"B",NA,NA
"73","Pocillopora_verrucosa","Pocillopora verrucosa","C","D",NA,NA,NA,NA
"74","Podabacia_crustacea","Podabacia crustacea","C","D",NA,NA,NA,NA
"75","Porites_astreoides","Porites astreoides","C",NA,"A","B",NA,"F"
"76","Porites_compressa","Porites compressa","C",NA,NA,NA,NA,NA
"77","Porites_cylindrica","Porites cylindrica","C",NA,NA,NA,NA,NA
"78","Porites_lobata","Porites lobata","C",NA,NA,NA,NA,NA
"79","Porites_lutea","Porites lutea","C",NA,NA,"B",NA,NA
"80","Porites_rus","Porites rus","C",NA,NA,NA,NA,NA
"81","Psammocora_contigua","Psammocora contigua","C","D",NA,NA,NA,NA
"82","Pseudodiploria_strigosa","Pseudodiploria strigosa","C",NA,NA,"B",NA,NA
"83","Seriatopora_hystrix","Seriatopora hystrix","C","D",NA,NA,NA,NA
"84","Siderastrea_radians","Siderastrea radians","C","D","A","B",NA,NA
"85","Siderastrea_siderea","Siderastrea siderea","C","D","A","B",NA,NA
"86","Stylophora_pistillata","Stylophora pistillata","C",NA,"A",NA,NA,NA
