"","specie_id","specie_name","value","n","prop"
"1",24,"Acropora aspera","C",10,0.833333333333333
"2",24,"Acropora aspera","D",2,0.166666666666667
"3",25,"Acropora austera","C",12,1
"4",36,"Acropora cerealis","C",10,1
"5",37,"Acropora cervicornis","A",9,0.6
"6",37,"Acropora cervicornis","B",3,0.2
"7",37,"Acropora cervicornis","C",1,0.0666666666666667
"8",37,"Acropora cervicornis","D",2,0.133333333333333
"9",46,"Acropora cytherea","A",7,0.152173913043478
"10",46,"Acropora cytherea","C",39,0.847826086956522
"11",50,"Acropora digitifera","C",8,0.8
"12",50,"Acropora digitifera","D",2,0.2
"13",65,"Acropora florida","C",15,1
"14",66,"Acropora muricata","C",14,1
"15",79,"Acropora humilis","C",12,1
"16",80,"Acropora hyacinthus","C",15,1
"17",93,"Acropora latistella","C",11,0.846153846153846
"18",93,"Acropora latistella","D",2,0.153846153846154
"19",109,"Acropora millepora","C",29,1
"20",116,"Acropora nasuta","C",33,1
"21",119,"Acropora intermedia","C",18,0.947368421052632
"22",119,"Acropora intermedia","D",1,0.0526315789473684
"23",123,"Isopora palifera","C",26,0.866666666666667
"24",123,"Isopora palifera","D",4,0.133333333333333
"25",156,"Acropora samoensis","C",15,1
"26",160,"Acropora secale","C",13,1
"27",180,"Acropora tenuis","C",17,0.894736842105263
"28",180,"Acropora tenuis","D",2,0.105263157894737
"29",191,"Acropora valida","C",21,0.91304347826087
"30",191,"Acropora valida","D",2,0.0869565217391304
"31",201,"Agaricia agaricites","B",2,0.08
"32",201,"Agaricia agaricites","C",23,0.92
"33",204,"Agaricia humilis","B",2,0.153846153846154
"34",204,"Agaricia humilis","C",9,0.692307692307692
"35",204,"Agaricia humilis","D",2,0.153846153846154
"36",271,"Astreopora myriophthalma","C",6,0.5
"37",271,"Astreopora myriophthalma","D",6,0.5
"38",445,"Coeloseris mayeri","C",2,0.181818181818182
"39",445,"Coeloseris mayeri","D",8,0.727272727272727
"40",445,"Coeloseris mayeri","G",1,0.0909090909090909
"41",458,"Colpophyllia natans","B",10,0.555555555555556
"42",458,"Colpophyllia natans","C",4,0.222222222222222
"43",458,"Colpophyllia natans","D",4,0.222222222222222
"44",467,"Coscinaraea columna","C",10,1
"45",523,"Cyphastrea serailia","C",10,0.833333333333333
"46",523,"Cyphastrea serailia","D",2,0.166666666666667
"47",585,"Dichocoenia stokesi","B",10,0.909090909090909
"48",585,"Dichocoenia stokesi","C",1,0.0909090909090909
"49",587,"Diploastrea heliopora","C",7,0.466666666666667
"50",587,"Diploastrea heliopora","D",8,0.533333333333333
"51",589,"Diploria labyrinthiformis","B",4,0.333333333333333
"52",589,"Diploria labyrinthiformis","C",4,0.333333333333333
"53",589,"Diploria labyrinthiformis","D",4,0.333333333333333
"54",590,"Pseudodiploria strigosa","B",12,0.75
"55",590,"Pseudodiploria strigosa","C",4,0.25
"56",594,"Echinophyllia aspera","C",16,1
"57",606,"Echinopora gemmacea","C",10,0.833333333333333
"58",606,"Echinopora gemmacea","D",2,0.166666666666667
"59",611,"Echinopora lamellosa","C",21,1
"60",649,"Favia fragum","B",6,0.545454545454545
"61",649,"Favia fragum","C",5,0.454545454545455
"62",670,"Favites abdita","C",49,0.890909090909091
"63",670,"Favites abdita","D",6,0.109090909090909
"64",679,"Favites pentagona","C",8,0.8
"65",679,"Favites pentagona","D",2,0.2
"66",740,"Fungia fungites","C",17,0.894736842105263
"67",740,"Fungia fungites","D",2,0.105263157894737
"68",752,"Lobactis scutaria","C",18,1
"69",782,"Galaxea astreata","C",8,0.8
"70",782,"Galaxea astreata","D",2,0.2
"71",784,"Galaxea fascicularis","C",23,0.741935483870968
"72",784,"Galaxea fascicularis","D",8,0.258064516129032
"73",793,"Gardineroseris planulata","C",10,0.714285714285714
"74",793,"Gardineroseris planulata","D",4,0.285714285714286
"75",794,"Coelastrea aspera","C",11,0.224489795918367
"76",794,"Coelastrea aspera","D",38,0.775510204081633
"77",795,"Paragoniastrea australensis","C",11,0.846153846153846
"78",795,"Paragoniastrea australensis","D",2,0.153846153846154
"79",799,"Goniastrea favulus","C",28,0.777777777777778
"80",799,"Goniastrea favulus","D",8,0.222222222222222
"81",802,"Goniastrea pectinata","C",10,0.714285714285714
"82",802,"Goniastrea pectinata","D",4,0.285714285714286
"83",805,"Goniastrea retiformis","C",4,0.4
"84",805,"Goniastrea retiformis","D",6,0.6
"85",853,"Hydnophora exesa","C",21,1
"86",855,"Hydnophora microconos","C",11,0.846153846153846
"87",855,"Hydnophora microconos","D",2,0.153846153846154
"88",857,"Hydnophora rigida","C",10,1
"89",882,"Leptastrea pruinosa","C",5,0.454545454545455
"90",882,"Leptastrea pruinosa","D",6,0.545454545454545
"91",909,"Leptoseris mycetoseroides","C",8,0.8
"92",909,"Leptoseris mycetoseroides","D",2,0.2
"93",925,"Lobophyllia corymbosa","C",29,1
"94",931,"Lobophyllia hemprichii","C",16,0.727272727272727
"95",931,"Lobophyllia hemprichii","D",6,0.272727272727273
"96",943,"Madracis decactis","B",10,1
"97",949,"Madracis mirabilis","B",10,1
"98",951,"Madracis pharensis","B",11,1
"99",964,"Meandrina meandrites","A",1,0.0769230769230769
"100",964,"Meandrina meandrites","B",10,0.769230769230769
"101",964,"Meandrina meandrites","C",1,0.0769230769230769
"102",964,"Meandrina meandrites","F",1,0.0769230769230769
"103",965,"Merulina ampliata","C",15,0.882352941176471
"104",965,"Merulina ampliata","D",2,0.117647058823529
"105",973,"Orbicella annularis","A",2,0.0363636363636364
"106",973,"Orbicella annularis","B",19,0.345454545454545
"107",973,"Orbicella annularis","C",17,0.309090909090909
"108",973,"Orbicella annularis","D",17,0.309090909090909
"109",975,"Montastraea cavernosa","C",21,0.91304347826087
"110",975,"Montastraea cavernosa","D",2,0.0869565217391304
"111",977,"Astrea curta","C",7,0.636363636363636
"112",977,"Astrea curta","D",4,0.363636363636364
"113",978,"Orbicella faveolata","A",3,0.0375
"114",978,"Orbicella faveolata","B",31,0.3875
"115",978,"Orbicella faveolata","C",24,0.3
"116",978,"Orbicella faveolata","D",22,0.275
"117",979,"Orbicella franksi","A",1,0.037037037037037
"118",979,"Orbicella franksi","B",7,0.259259259259259
"119",979,"Orbicella franksi","C",10,0.37037037037037
"120",979,"Orbicella franksi","D",9,0.333333333333333
"121",984,"Favites valenciennesi","C",6,0.5
"122",984,"Favites valenciennesi","D",5,0.416666666666667
"123",984,"Favites valenciennesi","G",1,0.0833333333333333
"124",994,"Montipora capitata","A",2,0.0202020202020202
"125",994,"Montipora capitata","C",77,0.777777777777778
"126",994,"Montipora capitata","D",18,0.181818181818182
"127",994,"Montipora capitata","F",2,0.0202020202020202
"128",995,"Montipora capricornis","C",16,1
"129",1005,"Montipora digitata","C",38,1
"130",1040,"Montipora patula","C",3,0.272727272727273
"131",1040,"Montipora patula","D",8,0.727272727272727
"132",1070,"Mycedium elephantotus","C",17,0.894736842105263
"133",1070,"Mycedium elephantotus","D",2,0.105263157894737
"134",1109,"Oxypora lacera","C",10,1
"135",1118,"Pachyseris speciosa","C",8,0.8
"136",1118,"Pachyseris speciosa","D",2,0.2
"137",1153,"Pavona decussata","C",8,0.571428571428571
"138",1153,"Pavona decussata","D",6,0.428571428571429
"139",1157,"Pavona explanulata","C",9,0.529411764705882
"140",1157,"Pavona explanulata","D",8,0.470588235294118
"141",1163,"Pavona varians","C",32,0.727272727272727
"142",1163,"Pavona varians","D",12,0.272727272727273
"143",1190,"Physogyra lichtensteini","C",14,0.636363636363636
"144",1190,"Physogyra lichtensteini","D",8,0.363636363636364
"145",1199,"Platygyra daedalea","C",11,0.846153846153846
"146",1199,"Platygyra daedalea","D",2,0.153846153846154
"147",1201,"Platygyra pini","C",8,0.615384615384615
"148",1201,"Platygyra pini","D",5,0.384615384615385
"149",1203,"Platygyra sinensis","C",9,0.642857142857143
"150",1203,"Platygyra sinensis","D",5,0.357142857142857
"151",1218,"Plerogyra sinuosa","C",9,0.6
"152",1218,"Plerogyra sinuosa","D",6,0.4
"153",1221,"Plesiastrea versipora","B",2,0.105263157894737
"154",1221,"Plesiastrea versipora","C",17,0.894736842105263
"155",1224,"Pocillopora damicornis","B",3,0.0194805194805195
"156",1224,"Pocillopora damicornis","C",131,0.850649350649351
"157",1224,"Pocillopora damicornis","D",20,0.12987012987013
"158",1228,"Pocillopora eydouxi","A",2,0.0487804878048781
"159",1228,"Pocillopora eydouxi","C",33,0.804878048780488
"160",1228,"Pocillopora eydouxi","D",6,0.146341463414634
"161",1234,"Pocillopora meandrina","A",1,0.0416666666666667
"162",1234,"Pocillopora meandrina","C",18,0.75
"163",1234,"Pocillopora meandrina","D",5,0.208333333333333
"164",1237,"Pocillopora verrucosa","C",23,0.741935483870968
"165",1237,"Pocillopora verrucosa","D",8,0.258064516129032
"166",1240,"Podabacia crustacea","C",6,0.6
"167",1240,"Podabacia crustacea","D",4,0.4
"168",1269,"Porites astreoides","A",17,0.377777777777778
"169",1269,"Porites astreoides","B",7,0.155555555555556
"170",1269,"Porites astreoides","C",20,0.444444444444444
"171",1269,"Porites astreoides","F",1,0.0222222222222222
"172",1279,"Porites compressa","C",17,1
"173",1281,"Porites cylindrica","C",39,1
"174",1303,"Porites lobata","C",33,1
"175",1304,"Porites lutea","B",1,0.0285714285714286
"176",1304,"Porites lutea","C",34,0.971428571428571
"177",1316,"Porites porites","A",3,0.1875
"178",1316,"Porites porites","C",13,0.8125
"179",1320,"Porites rus","C",12,1
"180",1337,"Psammocora contigua","C",9,0.818181818181818
"181",1337,"Psammocora contigua","D",2,0.181818181818182
"182",1374,"Herpolitha limax","C",13,0.764705882352941
"183",1374,"Herpolitha limax","D",4,0.235294117647059
"184",1390,"Seriatopora hystrix","C",99,0.838983050847458
"185",1390,"Seriatopora hystrix","D",19,0.161016949152542
"186",1393,"Siderastrea radians","A",2,0.117647058823529
"187",1393,"Siderastrea radians","B",8,0.470588235294118
"188",1393,"Siderastrea radians","C",5,0.294117647058824
"189",1393,"Siderastrea radians","D",2,0.117647058823529
"190",1395,"Siderastrea siderea","A",2,0.0338983050847458
"191",1395,"Siderastrea siderea","B",15,0.254237288135593
"192",1395,"Siderastrea siderea","C",22,0.372881355932203
"193",1395,"Siderastrea siderea","D",20,0.338983050847458
"194",1441,"Stylophora pistillata","A",1,0.00632911392405063
"195",1441,"Stylophora pistillata","C",157,0.993670886075949
"196",1447,"Symphyllia radians","C",15,0.882352941176471
"197",1447,"Symphyllia radians","D",2,0.117647058823529
"198",1541,"Turbinaria frondens","C",12,0.857142857142857
"199",1541,"Turbinaria frondens","D",2,0.142857142857143
